barcode,name,brand,package_size,category
8005110002533,רוטב עגב.דטריני לפסטה400,מוטי אס.פי.אי,400 גרם,Sauces & Spreads
8005110002557,רוטב עגבנ.רומא לפסטה400,מוטי אס.פי.אי,400 גרם,Sauces & Spreads
8005110170300,עגב. חתוכות דק3*400מוטי,,1.2 קילוגרם,Other
8005110191015,מחית עגבניות קלה+בזיל700,מוטי,700 גרם,Vegetables
80052760,קינדר בואנו 2 * 21.5 גרם,פררו אס.פי.אי,43 גרם,Other
8006530089234,אולוויז פלטינום לילה 16י,פרוקטר אנד גמבל גרמניה,1 יחידות,Other
8006530089326,אולוויז פלטינום לונג 20,פרוקטר אנד גמבל גרמניה,1 יחידות,Other
8006530264495,פמפרס בייבי דריי 4+ 26יח,PROCTER&GAMBLE,1 יחידות,Other
8006530264525,פמפרס בייבי דריי 5 25יח,PROCTER&GAMBLE,1 יחידות,Other
8006530264570,פמפרס בייבי דריי מ.6 22,PROCTER&GAMBLE,1 יחידות,Other
8006540093849,אולויז אולטרה ליל בטוח10,פרוקטר & גמבל,1 יחידות,Other
8006540429327,"פיירי לימון מקס 440 מ""ל",---,440 מיליליטר,Fruit
8006540688892,אולוויז מגנ.ללא ריח L 48,PROCTER&GAMBLE,1 יחידות,Other
8006540688939,אולוויז מגנ.פרש L 48 יח,PROCTER&GAMBLE,1 יחידות,Other
8006540689059,אולוויז מגן פרו פרש L 40,PROCTER&GAMBLE,1 יחידות,Other
8006540689233,אולויז מגן תחתון פרו פרש,"פרוקטר אנד גמבל, גרמניה",1 יחידות,Other
8006540990568,תחבושות אולוויז לילה16יח,PROCTER&GAMBLE,1 יחידות,Other
8006540995839,אולוויז אולטרה נורמל 20י,פרוקטר & גמבל,1 יחידות,Other
8006837000918,לחם מוראטו לבן 550 גרם,---,550 גרם,Dairy
8006837003100,לחם מוראטו סמולינה 550גר,מוראטו,550 גרם,Other
8007178120310,"חומץ בלסמי גקובזי 500מ""ל",וילה סולארה,500 מיליליטר,Sauces & Spreads
8007178223547,"קרם בלסמי מצומצם 250 מ""ל",גאקובזי,250 מיליליטר,Other
8007270999012,שמן גרעיני ענבים דורו 1ל,,1 ליטר,Sauces & Spreads
